genero;nivel_formacion;pais;rubro;dotacion;origen_capital;puesto;funcion_rh;anios_experiencia;tipo_contratacion;sueldo_bruto;satisfaccion;busqueda;tipo_cambio;multiplicador;sueldo_ft;sueldo_dolar;cuenta
Masculino;Terciario completo;Argentina;Terminales automotrices, fábricas autopartistas, y afines;360;Nacional;Gerente;Generalista;3;Full time;110000;5;No estoy buscando cambiar;83.89;1;110000;1311.2409107164144;1
Femenino;Universitario completo;Argentina;"Servicios públicos (agua;gas; electricidad)";143;Nacional;Responsable;Administración de personal;5;Full time;54000;3;Sí, activamente;83.89;1;54000;643.7000834426034;1
Femenino;Maestría completa;Argentina;"Servicios financieros; seguros";250;Nacional;Responsable;Generalista;8;Full time;62000;2;Sí, activamente;83.89;1;62000;739.0630587674335;1
Masculino;Secundario completo;Argentina;"Agricultura; plantaciones,otros sectores rurales";150;Nacional;Analista;Administración de personal;9;Full time;110000;4;Sí, activamente;83.89;1;110000;1311.2409107164144;1
Femenino;Universitario completo;Argentina;Industrias químicas;10;Multinacional;HRBP;Al ser HRBP un poco de todo payroll, capacitacion, comunicacion interna,;5;Tercerizado / Outsourced;60565;3;No,  pero escucho ofertas;83.89;1;60565;721.9573250685421;1
Femenino;Universitario completo;Argentina;Comercio;46;Nacional;Responsable;Generalista;8;Full time;50000;3;No,  pero escucho ofertas;83.89;1;50000;596.0185957801883;1
Masculino;Secundario completo;Argentina;"Petróleo y producción de gas; refinación de petróleo";200;Nacional;Responsable;Relaciones laborales;14;Full time;140000;3;No,  pero escucho ofertas;83.89;1;140000;1668.8520681845273;1
Femenino;Terciario completo;Argentina;"Transporte (incluyendo aviación civil; ferrocarriles por carretera)";1000;Nacional;Analista;Generalista;15;Full time;49000;3;Sí, activamente;83.89;1;49000;584.0982238645846;1
Femenino;Universitario completo;Argentina;Servicios de consultoría;3000;Nacional;Responsable;Generalista;8;Full time;45000;NA;NA;83.89;1;45000;536.4167362021695;1
Femenino;Maestría en curso;Argentina;Servicios de salud;800;Nacional;Jefe;Generalista;9;Full time;106024;4;No,  pero escucho ofertas;83.89;1;106024;1263.8455119799737;1
Femenino;Universitario completo;Argentina;Comercio;75;Nacional;Analista;Administración de personal;10;Full time;71500;3;No,  pero escucho ofertas;83.89;1;71500;852.3065919656693;1
Femenino;Secundario completo;Argentina;Servicios de salud;183;Nacional;Analista;Administración de personal;2;Full time;48200;3;Sí, activamente;83.89;1;48200;574.5619263321015;1
Femenino;Universitario completo;Argentina;"Alimentación; bebidas; tabaco";1700;Multinacional;Jefe;Administración de personal;18;Full time;107000;NA;NA;83.89;1;107000;1275.479794969603;1
